Compound,Formula,IsotopeLabel,A12_1,A12_2,A12_3,D12_1,D12_2,D12_3,R12_1,R12_2,R12_3
glucose-6-phosphate,C6H13O9P,C12 PARENT,85751.28,57981.03,77564.32,52945.01,76652.98,44598.73,117258.34,147598.58,129523.24
glucose-6-phosphate,C6H13O9P,C13-label-1,12179.52,11628.09,13685.01,10869.16,11706.95,10070.26,20064.35,20536.04,20391.48
glucose-6-phosphate,C6H13O9P,C13-label-2,345720.09,301367.62,321003.12,355506.09,329203.84,327805.53,735962.94,692831.19,646309.62
glucose-6-phosphate,C6H13O9P,C13-label-3,12830.81,12877.18,13166.86,14218.75,14874.29,16425.65,30320.79,31270.47,29350.11
glucose-6-phosphate,C6H13O9P,C13-label-4,15879.57,12452.51,13903.58,13845.08,13841.68,16955.37,30335.86,25409.31,25988.45
glucose-6-phosphate,C6H13O9P,C13-label-5,0,676.13,337.21,360.22,568.32,316.38,1034.13,505.03,1295.59
6-phospho-D-gluconate,C6H13O10P,C12 PARENT,285.51,0,0,219.14,314.15,0,237.17,265.98,173.95
6-phospho-D-gluconate,C6H13O10P,C13-label-1,560.53,393.87,1205.37,526.32,294.59,1025.79,2050.54,2479.04,2759.29
6-phospho-D-gluconate,C6H13O10P,C13-label-2,24736.69,20256.03,33262,22870.83,16455.09,21132.69,52077.29,41904.62,46085.94
6-phospho-D-gluconate,C6H13O10P,C13-label-3,615.21,875.41,1233.9,1192.87,691.84,664.17,2369.4,1807.1,2594.58
6-phospho-D-gluconate,C6H13O10P,C13-label-4,561.98,885.99,3023.2,990.87,477.23,1173.8,4189.85,3576.31,1263.65
fructose-1-6-bisphosphate,C6H14O12P2,C12 PARENT,8834.07,6410.3,7317.3,4040.78,1427.46,2467.24,14853.32,9542.3,10288.08
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-1,9580.26,7226.7,9039.99,10439.48,5458.41,7810.88,21249.53,14111.09,16146.92
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-2,372706.12,284118.34,351263.09,489519.88,267875.72,322593.91,1078762.5,627830.5,687899.56
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-3,18793.81,13829.01,18921.48,23752.23,12419.23,14820.23,51996.31,28742.49,32063.44
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-4,33946.75,25380.9,34475.43,33554.38,17633.33,22043.55,96618.23,53942.51,57586.75
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-5,351.24,745.25,1270.5,1593.53,652.71,528.66,2749.08,1925.5,1370.55
fructose-1-6-bisphosphate,C6H14O12P2,C13-label-6,318.1,0,0,452.61,456.03,208.42,1905.82,1194.92,864.74
dihydroxy-acetone-phosphate,C3H7O6P,C12 PARENT,6666.66,6460.07,6863.6,5666.73,5489.88,5445.02,16936.54,10571.46,12676.18
dihydroxy-acetone-phosphate,C3H7O6P,C13-label-1,264.37,250.02,313.36,642.23,287.4,179.81,1055.39,451.61,1013.89
dihydroxy-acetone-phosphate,C3H7O6P,C13-label-2,9638.24,11536.32,9067.94,9181.1,8759.3,6859.07,30366.06,16505.79,20121.04
sn-glycerol-3-phosphate,C3H9O6P,C12 PARENT,490957.41,405009.12,463112.47,343279.84,297931.72,332978.69,370995.09,386710.62,349930.78
sn-glycerol-3-phosphate,C3H9O6P,C13-label-1,40941.11,37474.71,36166.57,23350.48,25053.59,31345.86,23829.16,27343.51,26938.23
sn-glycerol-3-phosphate,C3H9O6P,C13-label-2,733653.5,587959.69,670152,539884.06,498102.91,526756.25,544653.44,599850.75,584659.88
sn-glycerol-3-phosphate,C3H9O6P,C13-label-3,9423.47,3618.26,8510.08,5809.88,4611.22,6816.55,4884.71,5936.27,3941.98
3-phosphoglycerate,C3H7O7P,C12 PARENT,51246.48,38790.64,65583.5,26410.64,18095.55,20486.35,170510.89,97294.46,120273.02
3-phosphoglycerate,C3H7O7P,C13-label-1,3659.83,2819.15,4054.34,2320.4,964.7,1271.58,12977.78,6532.34,8222.99
3-phosphoglycerate,C3H7O7P,C13-label-2,49237.07,41636.61,63898.86,27283.07,19011.19,22686.95,172764.06,103986.7,120272.85
3-phosphoglycerate,C3H7O7P,C13-label-3,637.71,831.84,940.22,283.75,171.55,178.52,2642.83,985.54,887.75
phosphoenolpyruvate,C3H5O6P,C12 PARENT,7396.86,4658.59,6573.78,216.85,2685.87,3314.5,3604.08,11459.63,10539.17
phosphoenolpyruvate,C3H5O6P,C13-label-1,0,0,180.27,0,0,0,0,253.48,179.93
phosphoenolpyruvate,C3H5O6P,C13-label-2,5428.14,3514.81,6913.29,315.63,2398.49,2938.36,2507.95,12404.31,11773.04
pyruvate,C3H4O3,C12 PARENT,632014.69,645318.81,634521.56,624843.81,713089.5,623822.12,760885.75,679902.19,675798.31
pyruvate,C3H4O3,C13-label-1,66544.27,70402.09,66770.05,58561.47,69597.94,58912.45,69472.44,62201.65,60387.06
pyruvate,C3H4O3,C13-label-2,699694.69,739227.25,706882.06,692438.5,783444.06,701838,883749.69,791080.94,792328.75
pyruvate,C3H4O3,C13-label-3,14685.62,13491.52,13926.26,12810.18,12698,11722.99,13741.6,13039.12,13292.05
ribose-phosphate,C5H11O8P,C12 PARENT,6678.61,2167.23,8421.65,1454.35,2021.07,7866.04,1523.55,5094.14,4175.57
ribose-phosphate,C5H11O8P,C13-label-1,109384.6,46670.67,122173.81,28865.09,49179.86,62083.86,50175.56,104829.81,103744.27
ribose-phosphate,C5H11O8P,C13-label-2,23340.27,12269.36,27087.97,6372.64,13402.15,14950.66,10760.45,24046.15,24016.71
ribose-phosphate,C5H11O8P,C13-label-3,66997.01,35161.86,73451.26,14824.59,26525.13,34022.25,29119.55,66006.05,63277.56
ribose-phosphate,C5H11O8P,C13-label-4,16079.29,5773.59,16027.86,4646.31,7933.85,14351.74,12206.16,17876.88,17665.5
ribose-phosphate,C5H11O8P,C13-label-5,0,0,436.22,0,0,0,0,0,0
Sedoheptulose 7-phosphate,C7H15O10P,C12 PARENT,0,0,551.32,0,0,0,0,0,0
Sedoheptulose 7-phosphate,C7H15O10P,C13-label-1,1804.27,2429.69,2201.02,915.05,1135.73,1315.71,1148.75,743.95,640.86
Sedoheptulose 7-phosphate,C7H15O10P,C13-label-2,35227.8,27737.21,29103.86,27397.4,22948.73,28458.07,37148.95,40819.54,39082.5
Sedoheptulose 7-phosphate,C7H15O10P,C13-label-3,8631.17,6613.43,9625.71,9559.57,9897.74,9765.6,10095.6,10541.05,10595.05
Sedoheptulose 7-phosphate,C7H15O10P,C13-label-4,12848.73,11387.05,13974.9,9511.62,12552.57,10846.65,12414.55,15149.52,12445.14
Sedoheptulose 7-phosphate,C7H15O10P,C13-label-5,5813.6,3853.29,4813.17,6667.35,4792.01,2871.54,4596.32,5244.14,6587.75
NADH,C21H29N7O14P2,C12 PARENT,5701.07,3078.86,4119.98,2518.21,5733.14,6011.19,2186.27,3934.75,1254.73
NADH,C21H29N7O14P2,C13-label-1,25612.19,14769.92,15124.4,5276.15,10919.57,9844.06,7974.64,9117.56,3516.78
NADH,C21H29N7O14P2,C13-label-2,90983.28,49638.74,52477.16,12658.52,24014.51,28812.16,28424.62,30952.83,12674.22
NADH,C21H29N7O14P2,C13-label-3,115900.82,67051.98,74678.93,19098.6,35543.25,35531,40931.23,46606.23,22015.65
NADH,C21H29N7O14P2,C13-label-4,146708.11,77229.02,83159.4,24418.05,43375.58,46869.44,62933.76,61591.66,27498.91
NADH,C21H29N7O14P2,C13-label-5,117570.3,70356.93,79290.6,23065.81,45218.61,48892.1,61523.87,67319.38,26744.84
NADH,C21H29N7O14P2,C13-label-6,82076.09,44661.35,48859.96,16394.35,30130.39,30662.41,41566.36,50473.03,21209.09
NADH,C21H29N7O14P2,C13-label-7,40775.71,22708.46,26863.03,9256.15,17668.23,17825.69,27761.55,30472.9,13980.57
NADH,C21H29N7O14P2,C13-label-8,17112.08,10215.49,11582.93,4720.28,7571.55,8796.27,14146.83,13325.94,7630.63
NADH,C21H29N7O14P2,C13-label-9,4965.55,2761.15,3310.2,1358.32,3432.02,2639.43,5667.31,5270.8,2672.54
NADH,C21H29N7O14P2,C13-label-10,1370.1,600.04,251.56,0,336.57,350.27,1155.55,1099.08,0
NAD+,C21H27N7O14P2,C12 PARENT,4826.33,4809.72,2784.708,5736.21,6368.46,4405.96,5350.92,3904.54,5897.48
NAD+,C21H27N7O14P2,C13-label-1,18325.14,17929.55,15100.88,11092.41,12768.42,10279.73,15418.37,13399.37,11686.93
NAD+,C21H27N7O14P2,C13-label-2,62445.14,53893.75,50598.78,26484.71,36259.28,26982.25,52098.75,35801.12,43247.27
NAD+,C21H27N7O14P2,C13-label-3,80837.12,73961.19,71942.23,41293.66,48183.18,38116.15,74050.38,59351.44,69305.46
NAD+,C21H27N7O14P2,C13-label-4,108214.16,96040.57,90835.84,50772.62,61802.28,47094.84,100962.63,82417.52,97636.48
NAD+,C21H27N7O14P2,C13-label-5,89770.46,78296.86,71827.37,53065.78,60912.16,43963.83,103328.27,82000.2,96477.23
NAD+,C21H27N7O14P2,C13-label-6,56787.7,56060.24,50850.41,33606.88,43836.42,33542.73,81599.7,65700.81,71831.13
NAD+,C21H27N7O14P2,C13-label-7,32207.16,27665.55,26707.11,22618.87,23831.03,19981.46,49363.49,37327.23,45528.07
NAD+,C21H27N7O14P2,C13-label-8,14669.86,11160.91,11937.9,9006.29,12430.19,10145.23,25632.88,19464.12,23592.28
NAD+,C21H27N7O14P2,C13-label-9,3379.79,3861.78,3117.7581,3337.84,4155.94,3194.39,9420.57,5809.41,8049.98
NAD+,C21H27N7O14P2,C13-label-10,488.7,661.9,410.54,794.02,742.95,1077.47,2121.05,1129.17,1804.9
