label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blk,H-Glc-G6PD-1,H-Glc-G6PD-2,H-Glc-G6PD-3,H-Glc-IDH1-1,H-Glc-IDH1-2,H-Glc-IDH1-3,H-Glc-ME1-1,H-Glc-ME1-2,H-Glc-ME1-3,H-Glc-WT-1,H-Glc-WT-2,H-Glc-WT-3
,1,1,11,88.04019,6.510031,0.8317778,C12 PARENT,alanine,alanine,C3H7NO2,0.3799691,2.339763,88.04019,8513.155,3732203,3696727,3776015,3909995,3538421,3492433,6767314,5867646,5670806,6052618,64555,5113862
,1,2,11,89.04365,6.485418,0.8542652,C13-label-1,alanine,alanine,C3H7NO2,0.4045815,1.19954,88.04019,0,562623.1,482515.1,511732.5,353020.9,276479.2,357576.3,700912.3,559836.6,586887.6,564638.4,0,493283.7
,1,3,11,90.04692,6.486651,0.8315337,C13-label-2,alanine,alanine,C3H7NO2,0.4033484,2.118167,88.04019,0,1650846,1535663,1582323,807255.2,745709,674969.3,1213076,1019406,1005374,1191070,0,1041551
,1,4,11,91.0503,6.50018,0.8332155,C13-label-3,alanine,alanine,C3H7NO2,0.3898196,1.843447,88.04019,0,3.294525e+07,3.488649e+07,3.535901e+07,1.36488e+07,1.297636e+07,1.340295e+07,1.97233e+07,1.751708e+07,1.850308e+07,2.135622e+07,0,1.868134e+07
,2,5,11,88.04019,6.739439,0.8190403,C12 PARENT,alanine,alanine,C3H7NO2,0.1505613,2.339763,88.04019,7474.895,2019045,2058630,1835366,1293025,1149646,1290676,1168883,1025028,1076151,1467928,97942.16,1325680
,2,6,7,89.04363,6.715226,0.8394672,C13-label-1,alanine,alanine,C3H7NO2,0.1747742,1.370903,88.04019,0,69649.49,73404.12,59387.3,29899.48,33539.23,48009.73,52628.13,34596.57,49118.19,53466.59,0,57544.62
,2,7,1,90.04693,6.706843,0.2627649,C13-label-2,alanine,alanine,C3H7NO2,0.183157,2.033441,88.04019,0,85067.27,69906.55,0,28225.84,25143.55,65761.47,64647.09,50198.24,35513.96,61792.46,0,33252.99
,2,8,0,91.05033,6.66737,0.07903251,C13-label-3,alanine,alanine,C3H7NO2,0.22263,1.508275,88.04019,0,1703120,1748280,0,571025.3,597981.8,711951.2,930525.2,709078.8,806880.5,863068.8,0,863447
,3,9,11,88.04021,6.22668,0.7839117,C12 PARENT,alanine,alanine,C3H7NO2,0.6633196,2.079789,88.04021,7468.029,1185663,1146766,1203412,722371.8,797864.8,755505.3,1730880,1595437,1419624,2043979,10872.45,1933345
,3,10,0,89.044,6.218733,0.08739723,C13-label-1,alanine,alanine,C3H7NO2,0.6712666,2.741805,88.04021,0,0,0,9300.275,0,0,0,0,0,0,0,0,0
,3,11,11,90.04693,6.233995,0.8509594,C13-label-2,alanine,alanine,C3H7NO2,0.6560044,2.033441,88.04021,0,392834.7,404924.4,455607.7,162532,181344,144810.3,295360.7,271862.7,244114.5,315396.2,0,295340.6
,3,12,6,91.05032,6.228029,0.7697184,C13-label-3,alanine,alanine,C3H7NO2,0.6619711,1.592068,88.04021,0,236736.4,254720.9,281090.2,88035.99,67466.8,110697.8,56973.41,35634.24,95665.91,79956.85,0,115940.6
